"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":AS7265x Spectral Triad Example
A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":71.87,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":44.75,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":13.50,"C":16.89,"D":20.99,"E":15.50,"F":13.31,"G":17.07,"H":28.91,"R":41.01,"I":22.83,"S":29.46,"J":19.95,"T":44.75,"U":38.86,"V":78.47,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":13.50,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":22.83,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":13.50,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":13.50,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":30.44,"J":19.95,"T":44.75,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":13.50,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":22.83,"S":26.51,"J":19.95,"T":44.75,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":22.83,"S":29.46,"J":19.95,"T":44.75,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":27.49,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":27.49,"J":20.40,"T":45.54,"U":38.86,"V":80.19,"W":71.87,"K":24.96,"L":24.62}
{"A":23.39,"B":13.50,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":28.47,"J":19.95,"T":44.75,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":13.50,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":26.51,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":15.50,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":29.46,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":28.91,"R":42.18,"I":23.32,"S":26.51,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":27.49,"J":19.95,"T":45.54,"U":38.86,"V":79.33,"W":70.81,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":.8.58,"C":77,"H":2.78,"R":5.86,"I":2.48,"S":6.87,"J":2.66,"T":4.71,"U":5.67,"V":6.04,"W":7.40,"K":2.94,"L":2.95}
{"A":2.60,"B":38.58,"C":250.47,"D":23.73,"E":6.98,"F":2.80,"G":2.35,"H":2.78,"R":5.86,"I":2.48,"S":5.89,"J":2.66,"T":4.71,"U":5.67,"V":6.04,"W":7.40,"K":2.94,"L":2.95}
{"A":1.73,"B":42.43,"C":283.30,"D":27.38,"E":6.98,"F":3.50,"G":1.77,"H":2.22,"R":5.86,"I":2.48,"S":4.91,"J":2.22,"T":3.93,"U":4.86,"V":6.04,"W":6.34,"K":2.94,"L":2.95}
{"A":2.60,"B":9.64,"C":64.73,"D":42.89,"E":6.20,"F":1.40,"G":1.77,"H":2.78,"R":3.52,"I":4.47,"S":5.89,"J":1.77,"T":3.93,"U":3.24,"V":4.31,"W":4.23,"K":2.20,"L":2.95}
{"A":4.33,"B":18.32,"C":50.66,"D":198.04,"E":14.73,"F":2.10,"G":2.35,"H":4.45,"R":4.69,"I":5.95,"S":3.93,"J":2.22,"T":4.71,"U":4.86,"V":6.04,"W":6.34,"K":2.94,"L":3.94}
{"A":6.93,"B":137.91,"C":90.99,"D":147.85,"E":17.83,"F":2.80,"G":2.94,"H":5.00,"R":4.69,"I":7.44,"S":4.91,"J":2.66,"T":6.28,"U":4.86,"V":5.17,"W":6.34,"K":2.94,"L":5.91}
{"A":2.60,"B":13.50,"C":573.17,"D":112.25,"E":34.11,"F":2.80,"G":6.47,"H":5.00,"R":4.69,"I":2.98,"S":6.87,"J":2.66,"T":5.50,"U":4.86,"V":6.90,"W":5.28,"K":4.41,"L":3.94}
{"A":9.53,"B":11.57,"C":63.79,"D":10.95,"E":4.65,"F":4.90,"G":2.94,"H":5.00,"R":4.69,"I":2.98,"S":6.87,"J":6.21,"T":5.50,"U":6.48,"V":5.17,"W":8.46,"K":5.87,"L":10.83}
{"A":3.46,"B":3.86,"C":11.26,"D":6.39,"E":2.33,"F":2.80,"G":1.77,"H":3.34,"R":7.03,"I":3.47,"S":8.84,"J":3.99,"T":10.21,"U":11.34,"V":9.48,"W":11.63,"K":3.67,"L":6.89}
{"A":6.93,"B":8.68,"C":38.46,"D":17.34,"E":4.65,"F":3.50,"G":2.35,"H":3.89,"R":5.86,"I":6.45,"S":13.75,"J":3.55,"T":15.70,"U":14.57,"V":17.25,"W":13.74,"K":8.08,"L":7.88}
{"A":1.73,"B":11.57,"C":139.77,"D":37.42,"E":8.53,"F":2.80,"G":1.77,"H":2.22,"R":2.34,"I":6.95,"S":14.73,"J":2.22,"T":3.14,"U":3.24,"V":5.17,"W":5.28,"K":2.94,"L":2.95}
