.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":3,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":3,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":AS7265x Spectral Triad Example
A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":44.18,"J":31.04,"T":40.04,"U":52.63,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":22.82,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":19.06,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":44.18,"J":31.04,"T":40.04,"U":53.44,"V":107.78,"W":108.86,"K":35.98,"L":26.59}
{"A":19.06,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":44.18,"J":31.04,"T":40.04,"U":53.44,"V":107.78,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.48,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":22.82,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":47.13,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":49.09,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":19.06,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.90,"H":36.69,"R":39.84,"I":20.34,"S":44.18,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
{"A":18.19,"B":14.47,"C":22.51,"D":23.73,"E":20.93,"F":18.21,"G":25.31,"H":36.69,"R":39.84,"I":20.34,"S":48.11,"J":31.04,"T":40.04,"U":53.44,"V":106.92,"W":108.86,"K":35.98,"L":26.59}
